50000 200000
40543 3712 9
45712 7266 10
30866 17239 1
2115 22154 7
17097 13140 6
3892 9128 4
35853 48095 6
49633 43472 1
15441 32345 2
36952 39977 1
22665 4637 7
39200 48450 10
5281 36138 8
8484 17728 1
6819 2333 8
33266 14761 6
28279 31299 5
14926 1405 1
1727 12856 9
39854 24863 1
36208 31599 1
25370 24722 3
28162 45962 7
36014 9028 2
28701 7732 10
24098 23054 4
22487 28608 1
15608 15206 2
38575 658 4
27070 48986 9
37227 3000 1
47174 16378 1
5020 3712 3
28741 11835 5
2865 20586 6
39479 42939 4
19163 8501 10
26071 31372 2
43030 5033 2
16397 35628 4
32435 46219 6
14436 29067 5
24047 36136 5
42837 16004 9
17533 20896 9
32993 6840 1
22717 26924 10
31864 18335 2
13340 8987 9
15108 19984 9
13812 8044 6
47507 9303 1
15407 45766 8
42592 29737 2
1395 32696 1
17714 18216 10
25177 19687 2
3913 18290 10
25161 32463 1
25073 25209 8
2910 14709 4
24859 12086 7
34897 3424 5
2051 35490 6
1703 39894 6
17205 49369 10
14191 49627 1
22344 47565 10
28447 28019 1
7157 36260 7
47270 44431 5
35046 30376 7
37526 47134 10
34007 17045 3
24988 30627 4
8642 995 5
44734 17982 2
16379 35573 5
22120 37426 7
2530 40340 5
23704 17612 5
42797 39845 1
8146 20112 10
43304 21036 5
11716 29085 8
1131 28829 1
30568 2425 6
31470 41795 9
14276 26778 1
37982 5213 5
39998 36139 6
4197 28864 3
16908 18097 5
32435 8337 4
41309 11435 3
40497 42990 1
15248 7500 1
12075 44855 9
28856 38003 6
2749 36268 4
3985 46828 5
16871 1056 6
35418 47075 1
39359 15381 6
7154 5077 9
29085 7417 9
5075 15530 4
21350 37379 6
44631 27260 2
42066 27949 5
9376 1618 6
39778 23611 6
26747 42728 6
30846 19271 10
2041 10506 6
2923 19062 3
38746 1673 2
39913 13859 6
33475 46908 9
38108 46716 6
14081 24827 10
2136 43061 3
24975 49978 2
5066 14718 10
32997 37646 9
48100 27399 9
48040 7945 9
3370 39787 8
43201 34370 9
28902 20770 5
12781 37699 5
15992 21540 4
23721 15131 8
20631 49033 2
45421 15797 8
48024 26864 6
5222 23067 9
33137 5009 6
42816 31729 10
15096 29423 7
15057 37312 3
35233 16052 7
44178 38322 3
39685 17057 5
22385 20568 2
5341 26771 7
33097 9725 10
32387 41460 4
11790 29757 1
10929 7916 7
17260 36344 8
48683 6618 3
2233 28273 1
45222 10940 2
8675 33744 9
25435 27679 6
8352 26366 9
15822 46660 5
7800 22073 6
38763 39895 10
7062 47328 1
4833 48414 6
29418 26796 8
48542 28553 5
49654 31267 3
48066 12022 10
33382 5491 3
510 38899 10
24240 44165 8
24862 21000 8
11581 33336 10
18304 6350 4
19487 32328 6
3164 36970 9
34419 37999 9
27963 18694 6
25170 20878 3
9384 2748 4
28215 34022 5
37692 40335 6
6518 22763 5
10852 7769 5
17946 31892 8
14656 11096 5
17001 39725 2
15183 43675 5
9240 6289 4
36186 33338 3
1792 39216 1
35378 35252 4
436 32005 1
24218 13313 5
37431 27951 8
34137 8269 8
19329 7183 2
29124 28328 8
17239 5692 3
18248 47948 2
23181 5181 4
47668 4872 6
10271 33230 6
18095 29718 9
44045 4855 6
2513 28401 2
46209 34163 6
12477 36580 1
41582 41109 1
16116 8970 10
24655 14431 4
17385 30809 3
31752 12262 8
18520 8637 4
41600 5813 9
47401 49115 4
209 28463 2
32157 36551 10
13667 46529 3
2543 27404 5
40198 24922 10
15382 41793 6
31734 34764 3
19667 15197 5
43776 31788 8
41289 25703 10
23404 35613 8
19360 6326 4
7364 49477 5
27498 29305 6
16213 43412 7
7590 11547 8
20899 43293 2
22778 45676 7
46191 8392 8
32058 39390 7
45037 15391 1
19066 17558 9
14097 26804 1
36848 21180 5
44236 20815 7
25649 28963 7
26127 17085 1
17584 31818 4
22271 41698 1
20218 29336 7
14503 37519 3
35128 13513 2
40193 40026 6
8468 39646 9
1305 47331 1
24850 5914 6
23114 36234 2
42921 3225 9
13792 23730 9
13004 10288 9
25921 47043 4
19017 10577 6
21725 27092 4
36238 48059 4
893 2364 1
49487 34508 2
32866 26079 8
2771 10285 5
19756 1588 4
41389 45093 4
2213 17855 2
24763 42944 7
8597 48531 5
5565 5015 2
33063 47324 7
1320 966 9
39640 9951 2
48226 38547 7
12732 39694 5
21215 27862 9
48724 1535 5
17960 30074 4
6532 17319 10
30893 24679 5
28149 6098 4
26629 36765 5
31676 18639 9
33200 16031 7
1128 32573 7
24427 49984 9
46830 7097 8
14684 37871 1
26040 15211 8
24236 31247 10
7140 42127 5
21786 9422 2
6251 36758 3
13610 32100 10
16381 5497 3
26423 40402 8
34301 47384 10
49845 15232 1
32336 16516 7
20411 48530 6
9870 2392 6
45154 37048 10
26642 365 5
45245 13711 9
32029 35755 8
20513 42730 4
21091 30236 8
33713 36359 2
6884 27898 2
24620 8341 1
10622 34074 2
10891 12934 8
7449 2559 7
32452 11188 9
31928 9166 9
27403 26175 1
19447 7705 7
19282 47182 5
34241 21127 10
24355 36949 3
9274 19018 9
44893 13399 10
46823 24330 9
39617 16465 8
30335 13803 6
48939 47194 3
10763 34365 8
643 20820 7
11745 9853 8
4394 367 5
45971 12299 4
45484 6150 9
30054 21694 2
4004 40958 8
38958 10253 2
22967 41703 9
14813 22607 1
12624 17994 5
27929 38303 5
24069 40927 7
16695 36773 9
42047 43212 4
5077 38839 3
6748 47884 4
18349 11686 5
36940 6705 3
34230 38490 7
21637 37726 10
39634 18169 10
43810 31025 4
11016 175 4
14184 5985 10
9600 9393 3
31160 16 6
5097 3420 3
33535 28815 7
43571 30912 6
19828 32792 2
15779 36709 7
24727 25266 8
23264 20431 9
20773 34779 2
39674 14018 3
41534 18201 3
28655 36732 8
32118 45554 5
44916 7880 9
28535 42735 6
11666 1657 6
30544 43911 6
47742 27792 4
40434 36686 4
25064 24523 3
48996 699 4
28972 23657 9
12772 367 10
20341 21525 2
24174 16630 9
851 39765 5
2197 42416 5
42052 31374 7
2878 45580 5
17968 40977 1
37498 1994 8
39816 41434 8
32132 11388 8
49147 42437 9
6808 2503 6
1889 40168 3
46244 48247 3
8627 5427 7
7826 3673 8
41777 46569 1
20593 6388 9
18184 12725 10
48329 1092 6
44039 20740 3
38459 47325 6
33838 928 7
27287 43759 1
4256 12644 9
9667 47772 5
5502 11310 8
2916 18056 10
13020 45135 9
26820 11335 1
20392 17941 9
22982 7714 6
30556 37235 2
37105 30343 2
7619 5935 3
47811 5663 3
20807 38741 1
11097 684 4
41808 24545 8
5326 47466 4
20170 44622 4
48982 49534 3
20348 3495 7
46262 18813 3
18282 9202 10
20679 27130 4
12336 17878 4
11607 19328 5
45715 28809 5
6056 32105 6
37925 23829 6
42062 34278 8
41354 45025 3
2407 38353 7
10204 35255 10
13805 46018 7
22735 42336 5
13595 22425 9
36150 48701 5
5947 33637 4
16922 14303 8
17094 2060 2
33884 43144 3
31143 9162 8
38457 21167 6
36947 24766 10
2218 21126 2
41253 23519 1
10403 27617 8
21935 22064 2
12262 23462 5
10665 30594 9
12200 49286 1
28770 40410 8
38900 37746 7
47903 26170 8
15963 16552 6
39383 22143 8
44469 26289 5
2629 15355 9
7068 27589 7
17652 37846 7
38867 1871 3
33567 10904 5
39115 45719 9
13006 37223 3
8512 43477 6
3525 5924 5
9270 22682 8
25951 10835 8
55 43162 3
13133 11276 5
20154 5267 3
15478 13324 7
5909 47456 4
10101 44873 9
24527 324 8
10441 22591 2
30854 36033 7
45795 13925 8
43806 24660 8
46283 15908 2
25400 8421 6
8750 26206 6
18559 44220 7
39120 25811 9
4696 22732 8
43901 48524 10
1762 14528 10
11675 15411 6
23742 22272 9
104 40014 10
49262 26095 2
42308 15078 3
32764 12318 1
13843 19787 7
6085 22255 7
42863 11788 7
9879 18675 5
25350 44254 8
2282 17106 7
11764 10717 7
44717 33904 2
30469 5415 6
44961 48016 2
42983 26507 1
10543 20907 3
37662 33224 7
44977 29798 1
31859 42848 7
27686 3572 5
27851 16950 2
39559 29508 9
24433 31034 6
35063 23911 2
11720 27791 9
49781 25131 2
9855 455 6
46370 38676 5
12950 33744 10
47685 29818 7
3181 30458 5
2611 7965 8
30162 24058 1
39277 44983 6
16536 27898 6
44236 19408 1
35569 17513 3
19217 23388 7
1148 29279 6
19508 41679 1
39044 7319 6
47966 2399 9
48410 25966 4
11484 5508 9
6197 8261 3
41479 32338 7
18002 22635 8
45153 40451 4
48017 34311 10
30042 2663 2
21403 24431 1
9617 39934 2
25029 33595 2
22136 41729 5
27690 26262 1
12054 48940 5
47290 42788 2
28405 7630 4
37414 17103 5
40342 33688 9
15974 45498 1
24525 37574 8
14103 49854 7
18008 48946 3
18143 32870 1
39624 26127 3
44447 18672 5
331 26685 4
1226 27153 3
18007 17501 8
39261 41605 6
6366 14504 4
1184 46465 6
14487 4176 10
18863 47720 10
30188 38529 7
41600 39009 6
35484 25496 8
36546 823 6
22321 20948 6
29123 9946 8
48665 32700 4
34880 45726 3
44104 25563 5
26406 2114 10
5151 41378 8
36787 22629 2
13602 49021 9
24195 19925 5
49208 20665 8
44204 30630 1
10217 40951 10
10927 40911 6
37020 28280 7
1534 49242 5
36466 48762 8
15382 24594 9
8630 24800 10
8093 6355 7
14306 13848 2
37404 18962 3
10427 48133 7
36049 26772 6
49235 14270 7
39272 18276 6
23801 41305 2
43531 45013 6
32919 35102 9
25701 14752 7
32429 49599 8
18761 29455 3
11640 26217 5
218 34908 6
49999 30410 3
44784 6443 7
38021 42801 7
27411 26889 4
41708 1903 10
14692 9081 10
40627 32988 2
39293 37393 7
1496 21300 10
16380 10909 10
40992 30927 2
24267 1488 10
42868 25515 9
33510 12650 3
30000 24186 4
11482 30944 4
21150 8693 5
4247 2024 4
37853 30223 8
16059 44805 10
29075 15852 3
30238 32782 2
39584 21709 3
16047 30291 2
451 49060 1
44697 44359 7
34063 30815 7
4611 27334 5
46922 35215 2
46910 39778 9
46842 1554 8
31510 47581 1
19199 26109 1
23814 26177 9
41239 42574 8
28087 8130 2
9567 17203 10
49386 7325 3
24016 27059 6
9302 15929 8
13768 17334 2
21628 42076 2
30031 46470 8
49316 16038 5
22442 19352 8
21670 29515 5
37239 18041 10
2342 49894 3
9700 34195 5
1700 14484 6
36932 23771 5
20097 46913 3
37200 41542 5
31148 46732 8
44123 19325 3
48741 45552 3
9602 39809 5
25180 16862 4
1835 13871 10
19854 9723 10
790 17001 6
47260 33331 9
26597 31258 10
11167 22558 3
38478 32839 6
34297 24534 7
31801 42492 3
34421 31591 3
31719 24895 1
43826 4243 6
14734 20270 4
14700 9836 5
39887 47760 2
42598 12906 6
32688 30102 10
41853 799 9
14966 48586 4
23826 43531 1
26115 41051 2
21595 33254 2
17791 36260 9
48579 35240 2
3668 29270 10
34271 16251 4
16781 48459 3
45200 42651 4
14964 45196 8
11628 2636 10
17417 36174 5
5987 48700 4
48059 4172 3
34246 19841 1
13613 14915 4
38382 49917 10
31279 30426 2
35188 3347 6
41543 4787 4
31345 7628 8
5464 31197 4
6545 35544 10
14089 39209 8
19658 37311 1
38123 28164 2
47184 29008 4
38596 41610 10
49515 29901 1
16498 49450 7
39410 17743 8
41361 11569 6
33245 31672 9
18596 42289 5
17314 34877 4
22357 18041 9
32968 20237 8
7305 49585 3
31954 427 6
33393 30835 8
10690 11717 2
49836 28312 5
6197 29045 6
41804 45020 9
11970 12687 2
49994 15191 4
20132 32884 5
20972 34760 8
6744 44875 5
39945 13781 10
44032 10131 6
10249 12576 7
11257 10350 10
43423 10297 6
33847 31049 10
27322 47609 5
14989 17226 8
19897 24300 3
20069 21870 6
48838 20666 8
20186 27872 10
25791 49983 7
371 49953 7
3624 26790 6
42322 9170 8
17970 1276 4
13671 43388 5
19319 24476 1
21092 28016 7
21344 36573 9
48432 13071 4
40472 32960 8
17954 7001 2
15934 10513 6
47372 31436 10
30793 3014 7
45075 46300 8
16373 18359 10
38411 24577 1
6647 3677 6
18090 35251 6
28712 18627 2
30922 8800 2
21269 48001 7
9946 9857 10
19585 37623 4
36820 5767 8
16071 21485 10
35821 49990 5
36482 34801 5
45191 1432 3
4456 45826 6
23673 29218 4
12067 21054 8
14921 30199 6
21824 13040 5
16735 39558 1
9192 7811 7
28005 25972 8
3147 34629 1
33571 24476 1
37074 28652 1
33044 21434 9
32244 18523 10
21872 41574 2
48131 4951 10
6038 36588 2
34849 10369 9
5749 37612 8
39979 42609 4
49277 4789 7
18144 30521 8
48426 9974 6
4785 11906 10
22269 29756 9
45389 48461 7
1407 26310 10
19255 416 10
25555 1236 1
14760 21127 7
9862 16964 4
38297 44206 6
34889 29999 4
37646 23242 10
10001 12376 3
13509 20216 3
6612 1718 9
39447 2585 3
35394 22840 2
21460 20665 4
43133 13684 4
19852 10701 7
17765 15268 4
23287 1788 3
28812 8068 7
1666 29094 4
24930 3225 8
28740 26160 4
13476 24936 10
8169 6085 3
33207 37899 9
7975 10674 4
7887 32054 10
23487 49131 6
27205 12516 4
5950 33220 6
31324 16730 9
7339 29946 1
475 24905 7
26234 6557 6
23618 20314 2
28452 42729 5
15031 45954 2
42626 42177 7
30891 1038 5
47816 42425 6
2973 9223 4
11623 37000 1
8385 33988 3
9189 45552 8
49957 2555 1
39072 13751 5
24359 40472 7
10320 27475 3
11445 33986 3
48625 43821 3
23925 7169 3
1964 32607 4
20058 26453 6
17378 40757 6
1866 1692 6
1867 30834 1
48165 9459 7
3047 35355 7
49971 39223 9
11124 10365 2
979 22850 4
6037 27517 2
7366 31174 8
27202 35174 8
8808 39535 1
20409 31211 8
16833 8401 6
43016 35388 6
40213 43806 2
31312 32296 10
12863 8246 4
33733 8507 3
14781 43201 2
48705 6212 7
18500 40305 2
16369 14825 5
12099 47843 5
21536 46560 8
43801 38717 9
33875 37825 5
49800 8631 6
27657 24560 3
37969 48261 1
49016 25233 1
12969 11938 1
9368 41591 1
15586 10609 7
21137 767 10
31508 31709 6
12304 41203 10
26585 29629 4
29700 40718 5
35774 28826 2
48821 18304 9
22108 22102 3
16730 22346 8
35972 29905 2
43778 22437 9
17227 4136 6
27952 42093 1
35606 8272 2
14884 29978 2
7882 36075 5
8277 22781 5
29659 28584 9
5437 33077 3
26054 33482 4
9287 44602 4
1095 13020 6
34444 39382 3
36889 34770 9
3079 34940 6
35353 15101 9
10928 24541 3
6562 44590 3
41609 41570 10
14828 49224 3
35443 39955 7
13251 18246 1
26271 19431 7
34193 27607 8
30671 21097 3
47287 19660 1
4906 16471 9
43785 20421 4
48068 40181 10
4378 3881 7
9194 9423 8
10502 15890 7
10449 42341 7
25624 38759 4
16290 22964 2
14831 18102 3
26308 8091 10
44060 9951 4
29057 9332 5
49845 21461 1
41730 7686 9
20392 34356 2
41192 39219 8
15216 43281 8
19583 8183 9
48687 39979 8
10071 4613 6
17832 2685 7
16741 7394 8
27912 38337 3
46514 45314 8
49706 19077 4
34264 6753 2
47956 39538 10
23760 15813 8
45979 28342 7
3712 41815 2
18363 47451 5
16493 41960 9
21550 27501 5
23374 5445 1
6627 46733 8
15908 38389 8
14508 38737 7
43622 17416 2
46434 31972 9
39756 37068 7
39755 34011 7
2759 39430 2
38688 42118 2
37724 6220 2
15637 23638 10
44080 46485 10
27645 25804 1
22760 42407 8
30195 37574 9
2442 26128 7
43848 1680 4
37154 11844 1
41321 21558 2
19154 27010 1
47779 29925 5
23500 44761 6
23093 16298 5
29229 3132 6
30028 45816 5
10524 13721 9
35866 42486 6
48542 26300 6
11275 32757 2
21873 23055 10
35273 48487 4
20744 20043 2
47313 5926 7
20507 40750 8
41908 12202 7
13248 17346 8
22976 22085 8
23688 49464 3
11045 21152 1
7305 12438 10
20350 33169 9
19412 49595 9
35275 11659 7
40532 45589 2
13016 6118 2
46639 39188 7
17260 9552 6
34919 23186 7
8718 25247 2
48253 19261 10
37362 5387 6
14734 29002 1
16115 35912 3
43746 17942 1
32407 14710 4
16079 14800 8
42460 14153 3
813 19450 4
1361 40122 8
28767 27166 9
36125 37230 4
27022 12193 9
38069 26189 10
25369 48941 5
46317 23853 5
28266 24263 6
15381 20981 9
23401 5048 3
21080 46034 4
35276 37942 3
6332 33256 8
35085 20544 2
39589 14930 6
47026 46015 9
14677 30493 5
37634 3486 8
40554 28696 8
38735 28585 2
11229 1449 9
29390 36634 1
22780 31236 3
4179 44696 6
4286 47111 5
37339 16515 1
46767 39173 8
28234 46151 3
25968 14103 8
20304 35284 5
21661 15241 10
33289 26682 3
35364 44651 10
20608 444 10
3471 46669 6
38498 7843 2
40229 4169 9
27112 47866 3
48008 12754 4
39421 49730 3
11877 1932 8
47753 7831 6
5839 6170 7
37617 45936 7
26710 24988 8
9077 22498 3
6282 20394 6
11626 46351 7
16515 32747 2
12095 17072 7
13146 14853 6
42416 41484 2
22263 29604 2
34332 16893 1
39725 3991 9
3876 44742 6
6258 11043 1
34676 824 1
21421 25215 5
1812 37229 10
24565 4547 3
12352 41712 10
32650 11913 9
14311 22626 2
44772 10136 10
24521 37616 3
28881 46292 3
33248 9755 8
1988 40768 1
35231 7882 5
19099 7063 6
44763 11823 10
33979 10969 2
32614 12658 10
10174 40186 6
29797 43154 9
25483 29355 2
43824 36337 2
22173 16136 6
9265 15692 8
12343 26495 1
23482 3841 8
43231 46375 10
6473 34068 2
43483 42913 6
34559 36896 10
46019 34860 9
25833 49605 9
42152 13168 5
20992 8878 8
12978 19199 7
26492 28517 7
5399 32143 1
32193 6836 6
36782 31726 10
25480 20047 8
18821 44830 1
34573 2728 4
5844 20127 10
49011 37439 9
11361 42004 6
48447 3142 9
1832 3093 5
25224 12336 6
35242 3436 7
48400 33316 9
11684 33341 6
44638 45821 1
14057 6465 8
12170 14520 6
4781 46794 4
32458 13548 10
41970 40174 1
2964 25001 4
45179 7623 5
310 15754 6
11603 25553 4
24365 26342 1
10218 9284 10
16133 40747 5
27711 44590 10
46541 41038 5
13426 42817 5
26817 45238 1
27255 27108 7
18224 12418 8
16608 39330 1
41060 45385 7
2739 45613 8
8446 43447 4
4621 41785 2
7554 10415 8
4358 12016 9
21455 10968 5
44623 46859 7
18665 35144 5
18658 37362 5
7110 49872 2
25880 13246 2
36356 32634 4
8330 33962 1
30733 31379 2
7301 14984 1
25432 12089 2
49973 45456 2
15843 28570 10
24307 28711 3
28968 39125 1
43442 33005 4
13790 47507 6
2867 37276 1
10008 22370 5
11503 22945 8
13149 42214 1
25645 24905 3
19123 33134 2
14761 12056 4
22012 43123 8
1658 28870 2
16107 39430 9
18861 36493 3
9395 35856 6
3716 7298 2
26864 33950 9
1144 40539 3
47453 21080 6
2518 9403 2
44847 15313 1
24983 224 10
3828 25396 10
7840 14714 1
36938 35755 2
1297 42523 8
37453 42256 7
18511 44932 10
25347 29469 4
44753 32149 10
16386 22619 8
31400 10036 8
35157 23601 4
9463 18799 3
25457 16856 3
24122 48497 1
28294 19651 3
2788 30142 7
46575 35487 4
26360 8193 6
13638 26594 7
27376 30184 8
29090 25456 8
23826 22138 6
43605 26141 3
47402 34729 4
16122 14218 4
37249 12753 10
23816 30367 9
26752 24563 5
13992 25744 3
30817 7120 9
42745 29643 5
40867 27008 1
13068 14232 6
36155 10270 7
33914 28297 3
29031 1562 4
25294 37184 3
17912 48888 10
10214 42024 7
37687 12963 3
26954 20741 8
16102 48396 3
49979 31895 6
40000 40129 9
48189 41162 1
44314 6361 2
5619 1406 1
3457 21725 2
20532 23376 4
48731 9869 4
20156 4326 6
40844 20676 10
29269 31135 6
46111 11483 5
19873 6651 9
10473 9962 3
27209 7762 9
40520 26848 3
36809 36196 8
45866 18430 4
7429 43507 3
29157 6361 1
8886 24965 8
24862 31252 3
1307 38415 6
28897 38331 10
11916 29316 1
32228 44024 10
22533 22267 2
24246 4514 3
8843 40896 5
44392 25796 3
7272 43837 4
41564 21017 5
46622 5444 6
39505 32423 1
40754 38687 7
11079 23934 5
12584 33647 5
34107 1536 8
20877 10936 1
42559 15650 5
17243 29421 7
22119 2651 5
49151 49791 8
43215 5258 6
36128 2056 3
40905 699 10
1259 19838 7
13083 30809 7
25453 2358 5
45669 24585 6
24038 33592 7
26685 46352 6
8673 22691 5
36200 12642 8
18457 17476 2
29482 44027 2
43661 20880 9
7439 1507 3
49942 7015 4
4876 11606 6
4257 10092 10
15528 5726 2
632 47389 1
48267 22356 10
4612 10239 10
41033 30196 6
43577 6935 10
7993 3680 3
13075 48894 2
12161 6009 2
251 28375 4
13776 3276 2
25355 20998 9
12624 31198 4
46415 32460 10
46286 12193 8
18878 47943 10
4015 29000 3
33265 413 2
11524 12957 5
9430 35520 10
12408 45873 2
46063 49916 2
12333 12258 6
49563 14923 3
25864 41634 10
19445 39423 7
33204 41982 5
14303 27952 5
22594 48198 4
34770 457 5
18445 49433 3
4237 4038 2
32369 22559 1
40622 49522 7
5239 44173 8
786 48776 2
20866 38544 6
45749 44635 10
44446 4317 10
17199 47654 6
29542 23469 8
24277 32748 5
32052 20543 9
48822 12470 4
38484 11177 1
45276 23127 7
30470 30254 6
26426 30384 8
29633 10006 3
48356 49188 7
27498 1604 3
20756 24999 3
26176 23967 1
28467 43369 3
9898 38858 3
14220 6215 1
25643 30951 3
17753 22106 4
1420 32592 7
10375 19891 9
18197 14925 4
31885 39768 8
28367 28515 3
31938 43633 1
23158 6947 2
21186 46269 8
39833 18960 3
15410 33997 8
14182 27285 8
849 20185 3
22189 41317 5
44830 40532 7
40083 7985 10
8482 34710 5
22354 47497 6
45122 8397 6
37049 31032 2
1160 29299 6
27328 16129 4
21377 45107 4
