1000 5000
860 652 5
784 796 9
496 641 4
281 450 2
730 292 4
278 343 6
914 553 2
141 154 4
392 710 3
723 219 2
424 417 6
555 477 7
63 211 7
398 926 10
968 712 1
877 901 10
389 488 1
965 360 5
771 399 7
551 765 9
819 617 4
499 224 5
446 497 1
398 344 7
741 169 8
941 130 10
546 27 7
606 577 1
85 658 7
138 887 8
186 51 5
388 335 4
465 334 6
779 900 7
284 770 7
258 854 2
481 19 9
53 974 6
229 665 2
799 980 1
772 31 4
204 859 1
636 156 4
129 484 2
577 970 4
476 716 5
785 377 3
620 621 2
796 838 3
987 318 2
592 26 5
589 693 7
406 964 4
77 606 4
104 713 5
870 700 10
824 123 10
801 42 6
545 438 6
70 518 6
12 869 7
842 501 2
443 983 6
650 912 8
724 156 7
180 751 9
988 666 5
630 827 9
793 495 8
446 845 10
274 330 4
850 957 2
285 902 8
249 768 8
583 624 7
344 29 8
871 332 3
499 217 6
816 264 6
286 901 10
718 901 5
569 10 9
970 195 2
247 737 7
500 568 4
707 487 8
458 811 1
95 301 4
414 708 4
313 679 10
377 484 9
543 352 7
763 563 6
360 719 8
277 313 5
236 123 4
323 122 9
973 780 3
196 221 8
283 741 10
778 537 10
289 102 4
303 232 6
183 309 1
725 546 3
280 46 1
566 299 3
653 889 8
105 893 1
587 291 8
490 451 6
188 988 1
258 963 8
116 841 2
410 503 2
590 644 1
155 152 10
971 311 2
254 121 9
782 426 10
610 809 10
231 794 9
389 461 8
304 880 10
439 312 10
635 61 10
983 757 2
970 781 4
640 216 5
676 83 3
245 177 9
76 160 1
418 461 10
481 298 1
237 295 5
719 880 8
72 703 4
946 270 10
677 823 4
435 117 9
230 663 3
930 272 3
73 61 3
811 314 10
766 844 10
943 295 8
127 479 5
716 412 5
512 552 8
448 82 10
40 910 7
752 330 10
256 26 2
234 984 10
601 973 1
783 688 5
590 41 3
481 531 8
938 284 3
599 446 8
992 93 8
356 418 6
328 686 2
878 164 6
421 710 8
295 678 7
833 778 9
37 465 2
322 258 6
118 993 7
885 526 1
673 890 9
473 423 1
192 530 6
637 774 8
640 452 1
208 273 9
134 949 5
448 901 8
124 29 10
818 245 3
318 564 1
565 417 2
230 861 2
472 969 2
663 852 3
510 955 5
521 722 5
425 854 8
483 249 8
564 148 7
195 943 10
520 764 3
884 71 5
791 808 7
348 956 9
273 840 1
289 743 5
857 601 10
675 501 3
457 551 8
353 340 9
781 556 7
466 955 6
890 193 4
585 392 4
876 794 7
44 325 8
722 935 7
395 679 3
507 987 1
129 514 10
339 890 2
895 865 8
102 538 8
15 739 3
419 891 3
76 480 5
346 638 7
665 82 6
872 690 9
389 977 6
641 735 8
893 554 1
632 70 4
646 700 5
232 764 2
444 100 2
454 170 5
925 29 1
332 815 1
300 367 6
441 149 4
543 421 10
698 811 3
174 179 2
624 891 7
634 699 4
509 934 10
146 237 8
653 260 8
261 682 1
920 823 8
922 294 9
161 75 8
967 353 10
306 654 7
706 256 8
865 309 4
393 873 8
109 242 7
585 367 10
302 716 5
22 849 7
281 8 10
885 702 1
932 620 8
852 925 5
794 818 4
621 821 6
224 651 4
635 256 3
643 99 1
316 807 8
34 593 6
749 134 2
931 302 6
765 425 3
205 135 9
897 994 6
543 513 5
850 168 5
935 844 8
990 825 5
764 891 6
823 117 8
986 77 3
772 989 4
880 692 7
990 866 9
374 92 7
14 270 9
126 465 6
688 766 5
598 390 6
110 691 4
482 25 10
905 965 9
335 937 10
226 663 2
650 843 8
931 717 5
664 418 2
143 46 1
311 504 2
99 240 9
138 397 8
379 686 9
429 601 3
906 424 2
853 501 10
417 961 5
33 706 6
222 454 8
973 241 6
101 702 6
557 923 6
62 407 5
194 991 2
971 868 8
93 678 4
657 654 10
994 21 1
805 341 4
128 805 10
210 70 9
212 600 4
832 890 4
336 792 3
807 922 10
2 283 3
133 553 5
817 178 2
676 887 1
134 15 6
808 807 4
602 331 1
178 271 1
129 759 7
538 116 2
487 459 6
525 607 2
462 515 4
968 629 1
744 802 9
308 469 1
62 490 7
436 702 2
502 729 8
75 920 2
329 622 3
67 129 5
639 648 10
561 729 6
390 611 9
301 464 9
619 440 2
812 718 2
873 670 9
738 886 4
440 462 4
423 347 8
408 425 2
320 437 6
681 261 6
976 156 8
68 93 2
95 442 2
762 756 6
831 133 9
61 600 9
575 337 2
420 362 7
888 937 1
991 294 10
319 360 2
591 519 4
158 672 8
229 867 2
358 865 9
376 117 5
587 231 7
865 574 10
628 691 9
26 623 5
29 184 5
719 780 5
943 347 6
6 185 3
579 673 7
71 145 1
93 764 9
220 385 7
464 349 3
378 319 6
795 964 10
610 86 1
159 161 10
50 690 2
278 453 7
497 621 8
424 279 4
773 524 2
353 440 2
290 694 10
498 539 5
46 225 7
613 56 1
209 308 4
785 140 5
296 335 2
7 509 7
179 132 7
545 720 4
512 572 6
73 406 1
446 19 8
943 79 6
589 439 10
414 726 7
296 117 7
21 989 6
175 820 10
471 851 6
90 447 2
249 446 10
410 536 2
405 891 5
763 347 4
341 797 3
78 522 2
543 522 4
927 794 6
359 744 3
241 105 3
262 202 3
616 156 2
181 974 8
475 772 10
778 593 8
697 946 10
658 650 10
330 884 6
154 450 2
480 452 5
815 281 10
57 360 9
75 317 8
462 38 1
377 851 5
78 660 2
629 608 9
393 473 10
567 977 1
460 930 10
667 192 6
619 487 9
154 980 1
461 105 6
731 86 9
661 176 1
253 724 8
449 536 9
624 162 6
381 939 5
396 418 6
695 612 1
808 646 6
67 337 2
571 694 7
290 258 10
894 153 6
83 596 3
938 358 5
990 671 7
132 609 2
317 572 7
658 810 6
832 130 9
95 661 7
520 370 1
371 316 3
973 219 6
970 784 8
196 231 3
158 79 5
864 807 2
519 789 9
855 756 9
38 677 6
897 784 10
134 611 7
157 166 3
851 709 10
828 924 3
738 448 1
420 373 4
992 454 10
291 770 8
239 546 4
316 988 8
925 855 4
376 694 10
451 472 5
796 391 9
540 428 3
836 204 10
141 893 5
53 656 8
895 380 9
956 105 9
871 127 5
85 781 3
279 460 9
150 850 7
93 969 4
836 461 6
952 27 7
54 405 9
382 241 7
83 383 4
28 326 2
859 731 6
810 149 3
39 293 8
712 851 3
777 722 8
459 630 1
927 81 1
262 220 3
561 962 10
540 433 2
794 295 4
308 124 1
244 429 10
468 64 2
856 926 8
611 548 1
647 527 10
247 735 3
298 439 1
629 361 4
584 426 3
680 684 2
536 998 6
69 976 9
557 519 9
567 20 7
894 481 1
650 396 6
259 765 1
365 807 2
353 246 2
790 595 6
136 45 6
559 346 3
850 797 8
712 490 3
830 138 2
733 794 8
37 300 4
44 810 4
907 42 6
955 317 9
407 834 9
484 259 1
771 662 4
292 365 1
886 671 6
279 127 6
447 910 7
761 450 7
347 997 3
508 708 8
376 946 9
273 820 2
744 434 2
440 616 3
558 300 6
105 81 6
676 302 5
456 617 7
170 706 8
359 457 1
744 890 6
629 445 5
654 810 1
76 687 7
372 525 3
975 31 3
869 622 8
35 129 2
241 797 6
370 392 10
33 619 3
695 460 6
380 454 2
587 140 9
375 407 6
665 285 4
983 116 1
753 190 8
530 396 9
120 268 5
720 456 4
626 292 8
204 125 3
873 75 8
176 920 8
89 829 6
683 355 2
563 555 5
912 307 3
728 726 3
812 370 9
229 124 4
811 142 4
809 505 1
369 567 10
377 478 9
132 626 2
67 316 7
734 736 8
538 420 7
843 588 2
128 995 6
657 75 8
477 696 9
352 131 9
655 601 3
786 989 3
443 514 1
851 127 9
156 311 3
165 330 4
354 970 9
916 290 2
256 201 9
281 128 5
629 546 2
514 656 3
606 964 10
157 175 10
737 923 10
345 862 10
42 845 1
83 46 10
271 666 4
785 585 7
632 654 1
509 910 9
296 657 5
494 250 7
304 464 2
705 61 3
450 425 8
475 208 6
621 147 6
882 735 6
751 881 6
998 408 3
778 379 9
575 108 6
247 477 2
273 460 4
144 99 1
297 968 7
884 630 7
254 985 3
833 335 10
738 320 4
781 163 8
527 478 8
900 315 8
23 92 7
517 468 4
220 597 6
49 51 5
506 611 8
292 549 1
867 110 7
137 903 5
744 374 7
374 46 7
52 583 9
199 371 9
295 75 7
516 461 9
286 845 10
696 625 2
131 998 2
403 382 6
571 961 6
773 147 4
616 521 7
512 41 1
39 140 6
823 485 9
467 152 10
914 527 3
335 953 10
326 166 7
631 757 5
607 344 9
848 521 9
501 725 10
306 486 1
377 339 2
426 597 5
815 920 1
611 485 5
990 671 10
591 233 1
597 491 3
536 644 10
793 861 7
151 841 4
32 586 2
195 19 8
321 428 3
422 707 4
420 513 10
942 482 1
722 141 9
212 574 6
678 489 9
385 321 3
470 934 9
350 559 6
692 790 5
624 495 4
980 252 5
571 305 4
964 996 5
789 295 4
706 721 8
324 491 6
573 956 5
294 124 10
692 556 7
917 404 6
977 791 3
297 43 5
978 731 2
354 946 8
671 262 8
219 206 9
277 955 9
712 278 3
111 630 10
245 248 1
685 926 9
231 653 4
53 102 7
338 734 8
102 697 3
5 987 9
951 161 7
668 957 8
488 666 4
774 987 5
328 292 1
929 787 2
667 587 4
547 756 1
935 943 3
427 903 3
956 941 1
856 406 8
190 959 5
897 38 1
305 581 10
109 950 6
291 465 9
536 505 3
871 516 8
279 197 2
338 166 8
663 263 3
14 754 6
809 302 10
690 775 4
179 625 7
846 437 9
335 88 7
685 97 3
143 488 6
958 254 1
267 392 4
457 771 5
976 337 5
596 740 10
11 267 6
709 241 1
683 121 8
314 163 7
702 514 5
706 120 5
376 629 4
224 980 3
489 156 8
765 620 6
425 718 9
934 482 9
821 680 4
780 253 10
894 806 2
538 457 9
720 370 2
939 577 2
63 848 9
924 517 4
586 549 3
168 335 9
452 119 4
734 597 8
93 920 9
456 828 1
464 135 9
425 467 10
59 572 8
688 826 5
740 22 7
260 836 1
763 223 10
74 46 7
352 717 2
554 61 2
956 483 1
293 418 3
787 138 7
383 912 7
459 890 7
384 82 9
136 669 6
121 182 9
402 541 3
745 228 1
774 23 5
474 689 9
434 544 7
843 235 4
471 354 3
282 193 2
32 828 7
629 784 1
246 211 2
103 608 1
457 612 1
250 758 1
411 449 4
552 222 1
143 515 5
239 835 10
326 591 10
791 688 6
242 309 3
676 533 4
423 307 5
62 570 10
900 752 3
641 695 7
569 507 1
995 352 7
804 537 6
713 426 7
152 307 7
188 772 9
484 246 4
307 878 3
825 474 1
575 422 7
570 542 3
397 248 5
208 338 2
944 460 6
94 548 4
52 274 7
689 619 10
40 894 2
192 823 10
741 687 9
222 490 4
890 928 6
310 979 1
216 959 4
985 759 2
764 772 8
936 248 10
720 209 7
937 245 9
329 794 5
389 477 9
664 367 5
267 368 9
903 509 8
100 822 8
779 859 6
936 208 6
320 423 1
576 884 4
759 149 1
267 566 10
593 737 7
302 156 4
337 235 7
583 853 4
511 563 6
263 781 8
989 740 8
471 172 6
173 143 9
500 188 9
657 980 1
536 34 2
967 837 1
782 6 7
140 862 4
69 724 3
9 223 9
466 382 1
632 653 10
934 494 8
16 6 9
564 421 1
17 542 5
548 293 1
514 832 7
825 962 3
109 940 2
536 152 4
196 634 9
258 834 6
273 814 7
80 382 7
470 578 4
713 231 5
700 847 2
669 878 1
95 415 7
386 565 8
57 652 1
719 175 2
511 865 7
660 803 6
579 878 2
916 540 1
235 216 10
486 277 1
946 76 5
920 556 10
673 33 3
951 870 6
16 984 4
601 147 7
951 78 5
166 577 4
580 854 7
693 918 9
339 393 3
809 705 2
512 763 6
54 100 7
237 858 2
348 619 10
977 609 7
992 792 6
30 649 5
802 461 8
233 364 9
963 384 7
190 696 10
676 389 2
790 633 5
817 252 2
84 274 3
389 728 3
757 398 6
369 109 2
5 965 5
455 368 5
104 135 2
191 441 8
570 568 9
417 105 1
91 362 9
95 611 10
803 332 7
12 298 7
397 797 2
742 922 9
926 248 10
533 173 7
173 142 5
308 274 8
149 64 3
445 282 7
306 495 2
369 257 4
738 640 8
608 631 4
468 109 3
311 6 7
340 861 10
389 823 6
450 342 7
835 843 10
139 307 6
617 970 4
490 321 3
987 407 6
298 752 8
990 589 4
333 385 5
836 804 7
373 116 10
204 606 9
184 698 9
27 975 8
965 725 4
448 816 5
851 709 2
838 868 7
689 511 3
648 310 4
258 674 3
732 433 7
75 459 10
490 596 7
547 518 7
556 37 6
718 916 9
608 653 2
111 787 4
673 680 6
170 662 10
45 576 7
990 770 6
988 815 7
108 10 2
264 227 9
764 531 9
594 704 10
226 456 6
400 474 10
707 512 3
353 25 8
107 302 7
942 984 2
118 851 3
356 319 6
466 803 4
533 494 6
487 99 8
739 713 8
326 68 5
45 829 2
23 869 6
663 111 3
952 758 4
528 178 9
163 338 9
436 981 8
237 816 7
644 188 3
655 673 7
405 29 10
904 202 8
606 439 7
4 721 4
210 285 2
591 104 9
191 374 6
201 468 2
268 686 8
540 989 6
611 397 10
401 601 2
356 360 8
632 176 5
940 629 10
86 688 3
320 120 4
312 119 3
382 710 3
523 397 7
610 141 10
392 433 3
498 650 9
710 941 3
568 170 8
295 143 3
322 862 8
634 54 6
974 9 8
139 199 7
986 575 9
668 506 7
701 503 7
727 860 8
500 171 2
578 31 4
299 33 5
230 550 5
172 799 8
579 760 8
562 523 2
586 116 5
793 556 6
555 842 1
778 736 8
559 223 7
104 753 4
304 895 1
460 269 6
882 836 2
449 886 2
794 831 4
214 830 10
705 359 10
647 438 3
630 142 4
833 211 1
583 359 9
287 611 9
172 331 5
296 586 5
975 878 9
921 695 2
138 985 7
940 60 5
887 671 3
718 886 3
255 149 6
848 253 7
501 145 10
647 275 7
384 462 2
648 813 2
412 527 5
711 958 6
465 973 8
335 595 1
889 792 2
748 995 8
650 680 6
870 64 9
407 223 7
844 216 8
274 330 5
345 560 10
133 579 8
807 351 1
47 101 8
16 127 3
451 467 1
981 438 4
705 931 3
903 665 5
162 895 5
95 670 6
256 84 6
680 925 3
53 405 5
743 716 4
439 671 2
720 97 1
218 488 2
135 607 4
531 696 8
9 8 6
836 123 7
710 135 8
72 234 7
91 748 2
105 320 6
902 306 3
391 792 3
656 693 3
70 543 10
8 624 3
450 359 4
643 766 3
941 421 10
703 453 4
88 918 2
143 770 2
603 747 7
359 986 7
322 810 3
253 283 2
254 566 10
614 738 10
291 797 1
868 867 5
210 530 10
521 193 7
302 661 1
802 919 4
506 395 2
246 511 10
72 540 1
369 956 6
135 396 10
430 374 9
699 176 8
977 788 2
17 601 2
14 268 4
40 944 1
971 808 7
518 293 9
785 425 7
718 411 2
655 549 9
630 156 5
85 317 2
523 943 4
997 827 3
549 334 7
600 649 2
317 715 7
747 976 4
59 250 2
946 444 2
464 626 10
56 316 3
122 12 3
718 11 3
508 975 6
535 529 5
170 380 3
767 799 5
750 907 2
789 921 1
343 826 7
278 536 2
269 729 10
642 78 8
466 523 6
56 511 10
170 376 3
261 791 2
915 587 2
233 758 9
2 45 1
250 47 8
372 392 3
183 953 1
566 822 7
229 329 4
426 937 6
277 845 2
585 381 2
514 689 1
183 228 9
47 976 7
70 898 8
886 289 5
335 88 9
467 8 6
205 298 10
803 311 10
248 475 6
605 995 8
791 794 4
750 922 9
778 815 4
154 6 7
24 238 9
354 651 1
973 343 1
777 673 7
869 755 5
106 210 9
243 429 8
984 61 3
728 286 2
44 943 4
918 865 9
422 717 6
469 997 2
594 97 9
136 652 7
76 606 10
63 445 3
242 298 5
871 322 7
717 851 6
325 463 5
239 76 4
139 798 10
111 159 2
168 460 8
321 416 2
548 366 4
462 315 8
271 872 2
92 161 5
846 721 10
41 220 6
151 93 4
991 364 7
525 50 5
266 839 3
31 974 7
875 463 9
766 563 4
96 473 2
823 812 3
124 12 1
850 799 4
133 202 7
381 702 2
596 600 5
939 832 2
22 66 4
924 661 8
828 131 2
926 867 6
125 43 8
51 172 10
443 841 7
508 30 7
699 436 3
362 219 3
281 286 8
904 152 1
628 634 10
251 662 5
510 421 9
490 62 2
286 392 3
429 204 9
255 645 9
813 19 7
800 730 6
491 557 8
352 934 10
514 329 7
276 184 1
326 611 4
30 917 5
59 828 8
542 366 10
238 997 3
102 253 4
272 546 1
782 970 4
589 866 7
363 957 3
180 242 10
325 825 6
935 605 1
720 717 6
970 581 10
145 576 4
856 829 8
555 316 3
502 38 2
57 238 10
224 20 9
489 0 6
939 628 4
825 133 6
734 181 6
60 22 3
600 721 3
792 113 9
881 373 2
382 721 7
600 103 6
309 330 3
999 161 7
810 654 8
664 324 3
724 991 9
710 910 10
805 365 4
681 603 3
387 314 5
130 181 1
971 718 10
400 871 10
33 186 10
325 943 10
226 654 10
106 959 8
144 339 2
243 355 6
171 651 2
841 725 6
457 11 5
214 255 2
358 262 2
737 1 1
395 448 7
992 170 7
504 902 7
359 559 7
103 848 8
807 884 10
666 776 4
166 462 2
818 866 1
301 20 6
267 974 2
75 350 3
909 384 3
749 76 9
964 919 2
346 608 10
914 494 1
441 965 3
621 911 7
160 54 2
339 210 4
419 713 9
739 947 9
271 676 5
304 243 2
50 402 10
562 860 8
157 55 6
3 437 2
301 843 10
491 204 2
26 211 3
653 298 2
484 864 2
315 803 7
482 500 5
93 657 9
396 189 6
906 390 6
191 456 1
269 450 8
269 231 5
577 63 3
770 713 2
87 684 6
827 554 7
994 774 10
232 566 1
860 396 9
428 988 9
703 887 8
586 902 4
487 306 2
404 924 1
514 584 9
819 585 10
150 123 8
177 971 3
995 216 4
129 43 7
80 699 7
206 842 3
854 609 5
327 932 2
89 397 9
406 565 6
877 282 9
469 939 1
805 717 10
601 535 7
115 424 3
151 580 10
596 776 2
947 108 10
798 103 5
888 548 6
898 420 5
392 670 8
585 623 8
38 176 5
412 147 10
623 697 7
39 405 6
707 243 1
763 486 5
918 381 1
345 837 5
318 287 8
878 712 2
995 889 4
137 307 8
792 845 6
275 746 7
619 661 2
192 452 4
935 843 7
758 496 9
888 382 1
527 810 3
67 318 9
413 138 9
900 582 1
177 197 4
857 59 4
33 467 1
940 369 4
280 377 8
517 406 2
697 31 4
381 500 10
456 181 8
600 564 6
352 167 5
766 850 2
291 28 7
50 166 10
798 988 4
877 226 4
693 211 5
667 419 9
20 885 1
485 933 3
662 177 10
820 8 4
258 622 5
729 990 5
433 916 7
872 357 8
258 223 8
309 693 9
844 638 7
598 104 1
523 678 6
574 662 10
623 289 5
700 110 8
65 344 5
655 332 5
267 671 5
192 153 9
783 246 1
824 877 10
413 676 6
697 143 1
671 509 5
265 928 7
414 397 1
597 725 10
835 194 6
743 730 4
702 547 8
928 963 6
519 307 3
860 673 9
185 300 2
482 131 5
742 827 9
781 934 3
969 696 6
670 91 4
363 228 5
430 807 6
380 266 10
301 474 2
481 54 10
594 966 10
72 483 4
512 122 7
542 305 7
55 891 3
140 205 6
419 583 8
146 323 3
797 82 8
340 646 3
320 649 1
4 462 5
214 779 3
590 782 3
501 804 2
132 629 7
648 439 7
439 988 8
392 4 1
546 204 6
972 14 6
775 853 9
195 18 1
641 751 4
231 710 6
319 132 2
392 515 10
313 171 2
843 46 5
971 297 8
745 532 10
536 345 7
909 703 3
350 923 8
367 768 4
168 970 7
19 233 4
744 134 4
751 22 10
516 173 2
375 728 1
384 897 5
789 547 10
49 608 1
677 110 1
49 706 2
426 454 7
126 560 5
485 718 3
210 711 1
308 430 2
678 532 5
637 620 3
428 850 2
523 736 10
120 289 2
803 108 8
203 623 4
796 269 9
996 206 6
720 419 5
164 40 9
508 932 4
704 955 8
338 240 1
13 687 2
928 113 10
685 505 3
972 92 9
76 740 2
926 262 4
467 303 5
475 51 2
832 178 1
872 297 6
820 693 6
436 756 2
97 871 1
9 872 3
679 662 3
336 366 8
978 636 5
899 750 2
381 834 6
187 116 7
409 985 8
278 855 7
706 871 8
819 431 3
115 135 1
965 864 3
106 426 10
494 821 10
694 448 3
625 388 6
626 29 3
494 942 8
115 908 7
451 47 2
267 670 6
12 721 9
785 761 10
741 578 4
978 685 6
531 535 10
97 443 4
493 354 7
152 859 9
913 627 1
11 658 3
517 869 8
872 507 3
76 769 8
328 246 6
993 284 1
519 228 9
658 387 7
836 240 2
470 454 10
458 90 8
457 323 2
509 763 1
105 413 7
36 570 9
0 845 2
810 618 10
652 311 9
575 211 8
973 349 6
845 55 4
864 465 6
573 785 10
614 484 6
733 463 2
99 777 4
2 349 6
849 648 5
560 534 6
718 108 1
918 168 8
143 841 7
109 260 10
200 192 2
952 872 7
220 468 4
733 346 2
775 424 1
948 648 10
126 790 8
468 674 10
979 516 3
986 510 1
543 753 1
566 957 7
858 599 8
946 520 3
708 592 3
748 834 3
106 396 10
620 903 6
516 902 7
428 623 4
280 407 6
993 301 8
824 136 3
422 616 9
306 863 9
881 321 9
647 222 4
214 639 5
703 353 3
727 665 3
515 555 6
727 118 6
575 491 10
584 965 7
690 765 9
292 898 7
827 13 9
109 25 7
148 54 1
204 273 3
293 699 5
149 859 1
707 803 5
208 771 9
33 367 8
104 630 9
885 229 9
398 243 9
803 815 5
709 680 1
948 390 7
426 979 6
989 565 1
13 761 5
207 635 8
849 230 6
773 602 9
756 617 4
794 742 4
301 459 3
699 76 3
985 177 9
122 386 1
438 285 9
270 133 3
598 866 5
5 338 8
726 959 3
40 157 6
611 52 10
863 677 5
502 808 10
563 366 2
802 724 6
538 225 3
533 69 9
163 425 9
549 413 2
357 226 4
679 339 6
369 300 4
973 770 10
543 486 9
843 770 1
117 684 6
456 246 10
940 636 4
981 40 6
390 937 2
395 262 9
741 289 1
933 529 6
526 822 9
456 498 1
303 919 4
328 526 2
970 98 3
994 979 9
546 7 2
215 686 4
885 701 7
855 106 4
550 848 7
662 836 2
764 702 3
24 470 6
38 89 2
55 182 5
571 72 10
841 233 5
417 397 8
645 414 7
323 17 7
689 121 9
6 656 10
64 774 10
46 717 2
366 950 9
108 296 5
621 88 5
783 948 8
390 404 1
485 160 9
225 139 7
815 816 9
302 983 3
305 693 6
980 972 1
566 895 9
144 126 1
5 586 10
403 550 9
969 87 5
215 766 6
216 422 9
145 164 3
226 631 5
198 117 3
687 818 10
872 55 9
472 660 9
74 297 2
256 100 4
743 594 8
974 338 6
131 687 4
102 291 10
71 921 4
325 497 8
336 631 5
710 598 3
579 580 6
827 323 7
172 4 6
252 804 4
729 757 7
283 860 6
137 695 6
898 491 8
456 367 5
498 564 2
179 661 10
83 861 5
879 846 3
912 551 4
269 751 2
744 77 1
869 519 1
832 595 10
414 787 10
217 928 1
564 266 9
915 552 8
669 793 3
374 401 4
912 790 10
750 877 5
137 475 9
522 92 7
372 514 1
678 244 10
700 169 9
143 456 3
183 579 10
675 893 3
753 749 8
961 367 1
224 779 8
237 64 5
378 239 1
684 211 9
929 810 6
397 480 8
902 47 1
664 331 2
720 991 9
648 849 5
854 759 5
592 557 10
178 385 7
374 601 2
529 257 7
996 929 4
528 415 6
836 888 6
498 811 8
908 618 1
513 903 3
450 169 4
78 526 5
216 153 3
161 370 10
734 836 2
676 235 7
830 338 2
493 691 8
490 215 10
165 662 7
22 249 1
130 587 10
164 137 9
40 912 10
150 57 3
264 944 3
529 981 7
613 992 10
652 19 5
969 87 4
459 621 8
888 493 3
224 850 7
615 146 10
840 785 3
638 675 9
270 171 6
944 464 10
604 70 4
387 394 3
111 16 4
535 880 9
700 429 3
620 98 3
487 923 10
614 39 9
515 770 2
95 493 3
923 617 9
847 1 7
534 430 6
895 44 9
439 234 8
808 787 7
358 603 10
100 435 3
260 488 4
931 879 2
290 612 9
418 263 4
5 726 1
591 535 2
532 7 7
670 210 6
418 370 2
158 436 10
259 267 9
433 578 6
626 282 7
773 208 7
565 802 9
494 183 6
572 568 8
259 314 10
352 792 7
753 141 2
765 235 8
801 716 3
102 219 9
410 804 6
820 563 10
713 700 1
164 398 1
823 93 3
482 948 10
445 90 2
269 227 6
81 623 1
741 393 7
628 671 9
293 728 10
58 968 3
655 506 8
10 206 9
292 199 1
802 613 9
528 715 4
629 173 1
368 244 1
999 161 2
282 798 7
361 685 7
415 600 4
530 15 2
941 92 9
291 743 9
936 596 6
355 986 5
231 620 4
465 952 7
588 4 5
179 416 9
109 572 2
515 301 6
969 119 9
979 263 9
832 812 10
256 710 8
989 386 10
495 788 4
775 347 8
697 471 10
882 28 8
119 264 2
391 648 4
693 718 4
819 323 7
978 361 9
548 9 5
254 294 2
408 689 6
77 567 3
487 321 6
223 915 10
275 187 4
510 754 4
240 753 4
893 271 4
234 207 4
856 633 6
159 797 2
122 942 2
692 978 8
628 6 9
980 43 8
380 635 6
504 919 10
889 281 8
187 782 9
286 407 4
768 590 3
55 538 7
489 962 9
33 514 6
403 881 3
468 999 2
715 530 8
323 705 1
12 690 4
388 594 2
333 370 10
882 265 3
561 269 4
275 482 10
351 374 3
510 434 4
429 717 6
373 874 7
286 461 3
585 134 10
702 234 2
738 276 4
568 442 7
200 149 3
484 825 1
180 431 8
137 914 9
546 737 6
804 498 5
256 575 10
48 407 2
707 167 1
220 833 5
487 859 2
460 762 6
266 369 6
573 570 5
352 20 7
124 359 10
203 590 10
665 664 9
178 799 5
363 332 9
499 793 8
